INDICATOR,GEBIEDSTYPE,GEBIEDSCODE,DATE_FROM,DATE_TO,WAARDE
Trend GLG naar 2050,d_swf_welstandsgebieden,209,2020-01-01,,-15
Trend GLG naar 2050,d_swf_welstandsgebieden,260,2020-01-01,,-5
Trend GLG naar 2050,d_swf_welstandsgebieden,261,2020-01-01,,-9
Trend GLG naar 2050,d_swf_welstandsgebieden,262,2020-01-01,,-12
Trend GLG naar 2050,d_swf_welstandsgebieden,263,2020-01-01,,-6
Trend GLG naar 2050,d_swf_welstandsgebieden,264,2020-01-01,,-19
Trend GLG naar 2050,d_swf_welstandsgebieden,265,2020-01-01,,-6
Trend GLG naar 2050,d_swf_welstandsgebieden,266,2020-01-01,,-6
Trend GLG naar 2050,d_swf_welstandsgebieden,267,2020-01-01,,-19
Trend GLG naar 2050,d_swf_welstandsgebieden,268,2020-01-01,,-6
Trend GLG naar 2050,d_swf_welstandsgebieden,269,2020-01-01,,-6
Trend GLG naar 2050,d_swf_welstandsgebieden,270,2020-01-01,,-16
Trend GLG naar 2050,d_swf_welstandsgebieden,271,2020-01-01,,-14
Trend GLG naar 2050,d_swf_welstandsgebieden,272,2020-01-01,,-14
Trend GLG naar 2050,d_swf_welstandsgebieden,273,2020-01-01,,-5
Trend GLG naar 2050,d_swf_welstandsgebieden,274,2020-01-01,,-17
Trend GLG naar 2050,d_swf_welstandsgebieden,275,2020-01-01,,-14
Trend GLG naar 2050,d_swf_welstandsgebieden,276,2020-01-01,,-16
Trend GLG naar 2050,d_swf_welstandsgebieden,277,2020-01-01,,-14
Trend GLG naar 2050,d_swf_welstandsgebieden,278,2020-01-01,,-1
Trend GLG naar 2050,d_swf_welstandsgebieden,279,2020-01-01,,-5
Trend GLG naar 2050,d_swf_welstandsgebieden,280,2020-01-01,,-11
Trend GLG naar 2050,d_swf_welstandsgebieden,223,2020-01-01,,-2
Trend GLG naar 2050,d_swf_welstandsgebieden,224,2020-01-01,,-7
Trend GLG naar 2050,d_swf_welstandsgebieden,241,2020-01-01,,-8
Trend GLG naar 2050,d_swf_welstandsgebieden,242,2020-01-01,,-6
Trend GLG naar 2050,d_swf_welstandsgebieden,325,2020-01-01,,-12
Trend GLG naar 2050,d_swf_welstandsgebieden,326,2020-01-01,,-10
Trend GLG naar 2050,d_swf_welstandsgebieden,327,2020-01-01,,-9
Trend GLG naar 2050,d_swf_welstandsgebieden,255,2020-01-01,,-18
Trend GLG naar 2050,d_swf_welstandsgebieden,256,2020-01-01,,-19
Trend GLG naar 2050,d_swf_welstandsgebieden,257,2020-01-01,,-15
Trend GLG naar 2050,d_swf_welstandsgebieden,258,2020-01-01,,-15
Trend GLG naar 2050,d_swf_welstandsgebieden,259,2020-01-01,,-8
Trend GLG naar 2050,d_swf_welstandsgebieden,328,2020-01-01,,2
Trend GLG naar 2050,d_swf_welstandsgebieden,329,2020-01-01,,-3
Trend GLG naar 2050,d_swf_welstandsgebieden,214,2020-01-01,,-3
Trend GLG naar 2050,d_swf_welstandsgebieden,215,2020-01-01,,-14
Trend GLG naar 2050,d_swf_welstandsgebieden,216,2020-01-01,,-19
Trend GLG naar 2050,d_swf_welstandsgebieden,217,2020-01-01,,-19
Trend GLG naar 2050,d_swf_welstandsgebieden,218,2020-01-01,,-12
Trend GLG naar 2050,d_swf_welstandsgebieden,238,2020-01-01,,-2
Trend GLG naar 2050,d_swf_welstandsgebieden,239,2020-01-01,,-23
Trend GLG naar 2050,d_swf_welstandsgebieden,240,2020-01-01,,-15
Trend GLG naar 2050,d_swf_welstandsgebieden,314,2020-01-01,,-8
Trend GLG naar 2050,d_swf_welstandsgebieden,315,2020-01-01,,-13
Trend GLG naar 2050,d_swf_welstandsgebieden,310,2020-01-01,,-14
Trend GLG naar 2050,d_swf_welstandsgebieden,330,2020-01-01,,-12
Trend GLG naar 2050,d_swf_welstandsgebieden,290,2020-01-01,,-3
Trend GLG naar 2050,d_swf_welstandsgebieden,291,2020-01-01,,-3
Trend GLG naar 2050,d_swf_welstandsgebieden,292,2020-01-01,,-24
Trend GLG naar 2050,d_swf_welstandsgebieden,293,2020-01-01,,-10
Trend GLG naar 2050,d_swf_welstandsgebieden,294,2020-01-01,,-16
Trend GLG naar 2050,d_swf_welstandsgebieden,295,2020-01-01,,-5
Trend GLG naar 2050,d_swf_welstandsgebieden,296,2020-01-01,,-16
Trend GLG naar 2050,d_swf_welstandsgebieden,297,2020-01-01,,-10
Trend GLG naar 2050,d_swf_welstandsgebieden,298,2020-01-01,,-13
Trend GLG naar 2050,d_swf_welstandsgebieden,299,2020-01-01,,-12
Trend GLG naar 2050,d_swf_welstandsgebieden,300,2020-01-01,,-10
Trend GLG naar 2050,d_swf_welstandsgebieden,301,2020-01-01,,-14
Trend GLG naar 2050,d_swf_welstandsgebieden,302,2020-01-01,,-17
Trend GLG naar 2050,d_swf_welstandsgebieden,303,2020-01-01,,-2
Trend GLG naar 2050,d_swf_welstandsgebieden,304,2020-01-01,,-4
Trend GLG naar 2050,d_swf_welstandsgebieden,237,2020-01-01,,-6
Trend GLG naar 2050,d_swf_welstandsgebieden,316,2020-01-01,,-13
Trend GLG naar 2050,d_swf_welstandsgebieden,317,2020-01-01,,-5
Trend GLG naar 2050,d_swf_welstandsgebieden,318,2020-01-01,,-5
Trend GLG naar 2050,d_swf_welstandsgebieden,319,2020-01-01,,-3
Trend GLG naar 2050,d_swf_welstandsgebieden,320,2020-01-01,,-11
Trend GLG naar 2050,d_swf_welstandsgebieden,321,2020-01-01,,-2
Trend GLG naar 2050,d_swf_welstandsgebieden,322,2020-01-01,,-5
Trend GLG naar 2050,d_swf_welstandsgebieden,323,2020-01-01,,-15
Trend GLG naar 2050,d_swf_welstandsgebieden,324,2020-01-01,,-9
Trend GLG naar 2050,d_swf_welstandsgebieden,344,2020-01-01,,-4
Trend GLG naar 2050,d_swf_welstandsgebieden,245,2020-01-01,,-12
Trend GLG naar 2050,d_swf_welstandsgebieden,246,2020-01-01,,-16
Trend GLG naar 2050,d_swf_welstandsgebieden,247,2020-01-01,,-10
Trend GLG naar 2050,d_swf_welstandsgebieden,248,2020-01-01,,-12
Trend GLG naar 2050,d_swf_welstandsgebieden,249,2020-01-01,,-13
Trend GLG naar 2050,d_swf_welstandsgebieden,250,2020-01-01,,-22
Trend GLG naar 2050,d_swf_welstandsgebieden,251,2020-01-01,,-3
Trend GLG naar 2050,d_swf_welstandsgebieden,252,2020-01-01,,-8
Trend GLG naar 2050,d_swf_welstandsgebieden,253,2020-01-01,,-20
Trend GLG naar 2050,d_swf_welstandsgebieden,254,2020-01-01,,-9
Trend GLG naar 2050,d_swf_welstandsgebieden,352,2020-01-01,,-16
Trend GLG naar 2050,d_swf_welstandsgebieden,353,2020-01-01,,-13
